QID-DocID,TF-IDF,Okapi TF,BM25,Laplace,Jelinek-Mercer,Label
1-184,2.969033,2.350156,11.935621,-88.914921,-52.786743,2
1-29,1.438742,1.586698,6.084756,-90.169034,-56.566546,2
1-31,0.001,0.001,0.001,-36.02799779183261,-42.4164269917391,2
1-12,3.038801,2.956128,11.74194,-87.70363,-52.804923,3
1-51,3.629146,3.592406,15.641498,-84.775522,-52.293974,3
1-102,1.16252,1.481224,4.67707,-91.061175,-56.207967,3
1-13,2.075956,2.096246,8.742124,-89.256903,-54.719907,4
1-14,1.694168,1.418722,6.702689,-90.129101,-55.53715,4
1-15,0.001,0.001,0.001,-36.02799779183261,-42.4164269917391,4
1-57,0.672991,0.694702,2.992244,-92.51547,-56.95291,2
1-378,1.326033,1.90022,4.976487,-90.385036,-56.186967,2
1-859,0.782352,0.842976,2.963197,-92.167732,-56.879778,2
1-185,0.404656,0.611936,1.869687,-92.756153,-57.75989,3
1-30,0.602641,0.772216,1.757337,-92.768053,-57.539684,3
1-37,0.439801,0.665084,1.890705,-92.651941,-57.66449,3
1-52,0.867591,1.217311,3.692344,-91.317735,-57.035881,4
1-142,1.099055,1.595985,3.887383,-90.938268,-56.791771,4
1-195,1.317555,1.456633,4.320789,-91.10419,-56.694197,4
1-875,1.922242,1.38358,6.632459,-91.778533,-53.463005,2
1-56,1.670613,1.39995,7.657065,-90.508603,-55.213479,3
1-66,0.466944,0.706131,2.065369,-92.486314,-57.604661,3
1-95,0.859583,1.101458,3.169897,-91.967662,-57.177489,3
1-462,0.328333,0.365002,0.968273,-93.499095,-57.722774,4
1-497,1.194375,1.222963,4.888897,-91.461606,-56.532589,3
1-858,0.661829,0.453139,2.562583,-93.262559,-56.640429,3
1-876,1.72149,2.282553,7.100613,-88.795349,-55.997751,3
1-879,2.034046,2.05571,6.813124,-90.568128,-52.986874,3
1-880,0.880381,1.090127,2.892251,-92.256634,-56.838578,3
1-486,3.426,0,0,0,0,-1
2-12,4.614499,4.441271,18.579934,-58.463503,-30.202344,1
2-15,0.230888,0.362798,0.681708,-67.813358,-38.031233,2
2-184,2.143451,1.395428,8.022843,-65.522986,-34.323377,2
2-858,0.326593,0.292941,1.001852,-67.933159,-37.898826,2
2-51,2.611489,2.486189,11.031918,-61.936679,-34.276689,3
2-102,0.695228,0.623593,2.475834,-67.306411,-37.098969,3
2-202,1.438534,1.037344,5.5291,-65.766386,-35.906622,3
2-14,2.000256,1.861863,8.034507,-62.91732,-35.453319,4
2-52,0.867591,1.217311,3.692344,-65.59588,-37.221029,4
2-380,0.261508,0.383643,0.763571,-67.785809,-38.004961,4
2-746,3.077712,3.032222,12.429725,-61.809471,-33.038866,1
2-859,0.28923,0.259429,0.904139,-68.012538,-37.952238,2
2-948,0.712063,0.617488,2.16523,-67.208341,-37.423863,2
2-285,0.850247,1.20828,2.962188,-66.305441,-36.77848,3
2-390,0.971262,0.772216,2.832257,-67.089594,-36.211602,3
2-391,1.044542,1.504162,3.650299,-65.583983,-37.057748,3
2-442,0.369225,0.541667,1.563014,-67.262558,-37.888309,4
2-497,1.545084,1.288745,6.461624,-65.538227,-35.901125,3
2-643,0.001,0.001,0.001,-63.048996135707064,-74.22874723554344,3
